video_filename,site,array_size,distribution,number_reward,bout,flowerID,visit_order,visit_type,NOTES,,
20210622_0954,SPNC,5x4,uniform,20,39,9,2,,,,
20210622_0954,SPNC,5x4,uniform,20,39,8,3,,,,
20210622_0959,SPNC,5x4,uniform,20,40,5,1,,,,
20210622_0959,SPNC,5x4,uniform,20,40,4,2,,,,
20210622_0959,SPNC,5x4,uniform,20,40,3,3,,,,
20210622_0959,SPNC,5x4,uniform,20,40,9,4,,,,
20210622_0959,SPNC,5x4,uniform,20,40,14,5,,,,
20210622_1007,SPNC,5x4,uniform,20,41,5,1,,,,
20210622_1007,SPNC,5x4,uniform,20,41,10,2,,,,
20210622_1007,SPNC,5x4,uniform,20,41,9,3,,,,
20210622_1007,SPNC,5x4,uniform,20,41,8,4,,,,
20210622_1014,SPNC,5x4,uniform,20,42,20,1,,,,
20210622_1014,SPNC,5x4,uniform,20,42,15,2,,,,
20210622_1014,SPNC,5x4,uniform,20,42,10,3,,,,
20210622_1014,SPNC,5x4,uniform,20,42,5,4,,,,
20210622_1014,SPNC,5x4,uniform,20,42,4,5,,,,
20210622_1014,SPNC,5x4,uniform,20,42,9,6,,,,
20210622_1014,SPNC,5x4,uniform,20,42,8,7,,,,
20210622_1020,SPNC,5x4,uniform,20,43,19,1,,,,
20210622_1020,SPNC,5x4,uniform,20,43,18,2,,,,
20210622_1020,SPNC,5x4,uniform,20,43,17,3,,,,
20210622_1020,SPNC,5x4,uniform,20,43,13,4,,,,
20210622_1020,SPNC,5x4,uniform,20,43,8,5,,,,
20210622_1020,SPNC,5x4,uniform,20,43,9,6,,,,
20210622_1020,SPNC,5x4,uniform,20,43,14,7,,,,
20210622_1020,SPNC,5x4,uniform,20,43,15,8,,,,
20210622_1046,SPNC,5x4,uniform,20,44,5,1,,,,
20210622_1046,SPNC,5x4,uniform,20,44,4,2,,,,
20210622_1046,SPNC,5x4,uniform,20,44,9,3,,,,
20210622_1046,SPNC,5x4,uniform,20,44,15,4,,,,
20210622_1046,SPNC,5x4,uniform,20,44,20,5,,,,
20210622_1046,SPNC,5x4,uniform,20,44,15,6,,,,
20210622_1046,SPNC,5x4,uniform,20,44,12,7,,,,
20210622_1046,SPNC,5x4,uniform,20,44,3,8,,,,
20210622_1046,SPNC,5x4,uniform,20,44,20,9,,,,
20210622_1046,SPNC,5x4,uniform,20,44,19,10,,,,
20210622_1833,SPNC,5x4,uniform,20,45,15,1,,,,
20210622_1833,SPNC,5x4,uniform,20,45,10,2,,,,
20210622_1833,SPNC,5x4,uniform,20,45,15,3,,,,
20210622_1840,SPNC,5x4,uniform,20,46,3,1,,,,
20210622_1840,SPNC,5x4,uniform,20,46,7,2,,,,
20210622_1840,SPNC,5x4,uniform,20,46,3,3,,,,
20210622_1845,SPNC,5x4,uniform,20,47,5,1,,,,
20210622_1849,SPNC,5x4,uniform,20,48,20,1,,,,
20210622_1849,SPNC,5x4,uniform,20,48,15,2,,,,
20210622_1849,SPNC,5x4,uniform,20,48,9,3,,,,
20210622_1856,SPNC,5x4,uniform,20,49,9,1,,,,
20210622_1856,SPNC,5x4,uniform,20,49,4,2,,,,
20210622_1856,SPNC,5x4,uniform,20,49,3,3,,,,
20210622_1856,SPNC,5x4,uniform,20,49,2,4,,,,
20210622_1856,SPNC,5x4,uniform,20,49,7,5,,,,
20210622_1856,SPNC,5x4,uniform,20,49,5,6,,,,
20210622_1857,SPNC,5x4,uniform,20,50,4,1,,,,
20210622_1857,SPNC,5x4,uniform,20,50,2,2,,,,
20210622_1857,SPNC,5x4,uniform,20,50,3,3,,,,
20210622_1857,SPNC,5x4,uniform,20,50,1,4,,,,
20210622_1857,SPNC,5x4,uniform,20,50,2,5,,,,
20210622_1857,SPNC,5x4,uniform,20,50,5,6,,,,
20210622_1857,SPNC,5x4,uniform,20,50,4,7,,,,
20210622_1906,SPNC,5x4,uniform,20,51,10,1,,,,
20210622_1906,SPNC,5x4,uniform,20,51,5,2,,,,
20210622_1910,SPNC,5x4,uniform,20,52,14,1,,,,
20210622_1910,SPNC,5x4,uniform,20,52,10,2,,,,
20210622_1910,SPNC,5x4,uniform,20,52,5,3,,,,
20210622_1919,SPNC,5x4,uniform,20,53,9,1,,,,
20210622_1920,SPNC,5x4,uniform,20,54,10,1,,,,
20210622_1920,SPNC,5x4,uniform,20,54,5,2,,,,
20210622_1928,SPNC,5x4,uniform,20,55,13,1,,,,
20210622_1932,SPNC,5x4,uniform,20,56,12,1,,,,
20210622_1932,SPNC,5x4,uniform,20,56,7,2,,,,
20210622_1932,SPNC,5x4,uniform,20,56,6,3,,,,
20210622_1939,SPNC,5x4,uniform,20,57,1,1,,,,
20210622_1939,SPNC,5x4,uniform,20,57,6,2,,,,
20210622_1939,SPNC,5x4,uniform,20,57,11,3,,,,
20210622_1939,SPNC,5x4,uniform,20,57,17,4,,,,
20210622_1946,SPNC,5x4,uniform,20,58,10,1,,,,
20210622_1946,SPNC,5x4,uniform,20,58,14,2,,,,
20210622_1946,SPNC,5x4,uniform,20,58,11,3,,,,
20210622_1950,SPNC,5x4,uniform,20,59,4,1,,,,
20210622_1950,SPNC,5x4,uniform,20,59,9,2,,,,
20210622_1950,SPNC,5x4,uniform,20,59,10,3,,,,
20210622_1950,SPNC,5x4,uniform,20,59,3,4,,,,
20210622_1951,SPNC,5x4,uniform,20,60,14,1,,,,
20210622_1955,SPNC,5x4,uniform,20,61,14,1,,,,
20210622_1955,SPNC,5x4,uniform,20,61,9,2,,,,
20210622_1955,SPNC,5x4,uniform,20,61,8,3,,,,
20210622_2004,SPNC,5x4,uniform,20,62,9,1,,,,
20210622_2004,SPNC,5x4,uniform,20,62,8,2,,,,
20210622_2004,SPNC,5x4,uniform,20,62,13,3,,,,
20210622_2004,SPNC,5x4,uniform,20,62,19,4,,,,
20210622_2006,SPNC,5x4,uniform,20,63,8,1,,,,
20210622_2006,SPNC,5x4,uniform,20,63,3,2,,,,
20210622_2006,SPNC,5x4,uniform,20,63,4,3,,,,
20210622_2013,SPNC,5x4,uniform,20,64,20,1,,,,
20210622_2013,SPNC,5x4,uniform,20,64,19,2,,,,
20210622_2013,SPNC,5x4,uniform,20,64,18,3,,,,
20210622_2015,SPNC,5x4,uniform,20,65,1,1,,,,
20210622_2015,SPNC,5x4,uniform,20,65,2,2,,,,
20210622_2022,SPNC,5x4,uniform,20,66,19,1,,,,
20210622_2022,SPNC,5x4,uniform,20,66,18,2,,,,
20210622_2022,SPNC,5x4,uniform,20,66,13,3,,,,
20210622_2022,SPNC,5x4,uniform,20,66,12,4,,,,
20210622_2022,SPNC,5x4,uniform,20,66,17,5,,,,
20210622_2022,SPNC,5x4,uniform,20,66,18,6,,,,
20210622_2022,SPNC,5x4,uniform,20,66,17,7,,,,
